publication_ID	author_ID	OpenAlex_Author_ID	author_name_display_clean	author_name_full	Institution	OpenAlex_Institution_ID	ROR	Type	Affiliation	Second_Institution	Second_OpenAlex_Institution_ID	Second_ROR	Second_Type	Second_Affiliation	Third_Institution	Third_OpenAlex_Institution_ID	Third_ROR	Third_Type	Third_Affiliation	Fourth_Institution	Fourth_OpenAlex_Institution_ID	Fourth_ROR	Fourth_Type	Fourth_Affiliation	Fifth_Institution	Fifth_OpenAlex_Institution_ID	Fifth_ROR	Fifth_Type	Fifth_Affiliation	Sixth_Institution	Sixth_OpenAlex_Institution_ID	Sixth_ROR	Sixth_Type	Sixth_Affiliation	Seventh_Institution	Seventh_OpenAlex_Institution_ID	Seventh_ROR	Seventh_Type	Seventh_Affiliation	Eighth_Institution	Eighth_OpenAlex_Institution_ID	Eighth_ROR	Eighth_Type	Eighth_Affiliation	Ninth_Institution	Ninth_OpenAlex_Institution_ID	Ninth_ROR	Ninth_Type	Ninth_Affiliation	Tenth_Institution	Tenth_OpenAlex_Institution_ID	Tenth_ROR	Tenth_Type	Tenth_Affiliation	Eleventh_Institution	Eleventh_OpenAlex_Institution_ID	Eleventh_ROR	Eleventh_Type	Eleventh_Affiliation	Twelfth_Institution	Twelfth_OpenAlex_Institution_ID	Twelfth_ROR	Twelfth_Type	Twelfth_Affiliation	Thirteenth_Institution	Thirteenth_OpenAlex_Institution_ID	Thirteenth_ROR	Thirteenth_Type	Thirteenth_Affiliation	Fourteenth_Institution	Fourteenth_OpenAlex_Institution_ID	Fourteenth_ROR	Fourteenth_Type	Fourteenth_Affiliation
PA_PUB_0039281	PA_AUTH_0043843	https://openalex.org/A5053940388	Kenneth J. Meier	Kenneth J. Meier (Kenneth J. Meier)	Texas A&M University	https://openalex.org/I91045830	https://ror.org/01f5ytq51	education	"Texas A&M University, College Station"																																																																	
PA_PUB_0037826	PA_AUTH_0054080	https://openalex.org/A5066538484	David Coursey	David Coursey (David H. Coursey)	Arizona State University	https://openalex.org/I55732556	https://ror.org/03efmqc40	education	School of Urban & Public Affairs					"Arizona State University, Tempe"																																																												
PA_PUB_0037826	PA_AUTH_0054121	https://openalex.org/A5066592812	Sanjay K. Pandey	Sanjay K. Pandey (Sanjay K. Pandey)	University of Kansas	https://openalex.org/I146416000	https://ror.org/001tmjg57	education	"University of Kansas, Lawrence"																																																																	
PA_PUB_0014951	PA_AUTH_0082156	https://openalex.org/A5110163296	David G. Carnevale	David G. Carnevale (David G. Carnevale)	University of Oklahoma	https://openalex.org/I8692664	https://ror.org/02aqsxs83	education	University of Oklahoma																																																																	
PA_PUB_0014951	PA_AUTH_0011012	https://openalex.org/A5013330681	Barton Wechsler	Barton Wechsler (Barton Wechsler)	Florida State University	https://openalex.org/I103163165	https://ror.org/05g3dte14	education	Florida State University																																																																	
PA_PUB_0030508	PA_AUTH_0062181	https://openalex.org/A5076478857	Patricia M. Shields	Patricia M. Shields (Patricia M. Shields)					Texas State University																																																																	
PA_PUB_0050713	PA_AUTH_0062979	https://openalex.org/A5077475073	Michael Howlett	Michael Howlett (Michael Howlett)	Simon Fraser University	https://openalex.org/I18014758	https://ror.org/0213rcc28	education	"Simon Fraser University, Burnaby, British Columbia, Canada"																																																																	
PA_PUB_0050713	PA_AUTH_0025486	https://openalex.org/A5031267094	Raul P. Lejano	Raul P. Lejano (Raul P. Lejano)	University of Hong Kong	https://openalex.org/I889458895	https://ror.org/02zhqgq86	education	"#N# 3University of Hong Kong, Hong Kong"	"University of California, Irvine"	https://openalex.org/I204250578	https://ror.org/04gyf1771	education	"#N# 2University of California, Irvine, USA"																																																												
PA_PUB_0012644	PA_AUTH_0003750	https://openalex.org/A5004388635	Sandra Waddock	Sandra Waddock (Sandra A. Waddock)	Boston College	https://openalex.org/I103531236	https://ror.org/02n2fzt79	education	Boston College																																																																	
PA_PUB_0055039	PA_AUTH_0024133	https://openalex.org/A5029611417	Enrique Bonsón Ponte	Enrique Bonsón Ponte (Enrique Bonsón)	Universidad de Huelva	https://openalex.org/I78880903	https://ror.org/03a1kt624	education	"Universidad de Huelva, Spain"																																																																	
PA_PUB_0055039	PA_AUTH_0057707	https://openalex.org/A5071025761	Sonia Royo	Sonia Royo (Sonia Royo)	Universidad de Zaragoza	https://openalex.org/I255234318	https://ror.org/012a91z28	education	"Universidad de Zaragoza, Spain"																																																																	
